Case Id,Start Timestamp,End Timesstamp,Event Name,Event Type,Subjec Group,Subject Id,Object Group,Object Id,Event Id
461RP,2017-12-29 13:46:13,2017-12-29 13:48:13,putdown current shelf,process activity,robot,5r,shelf,6s,2325
461RP,2017-12-29 13:48:13,2017-12-29 13:50:13,go to approriate shelf,process activity,robot,5r,shelf,11s,2328
461RP,2017-12-29 13:52:13,2017-12-29 13:54:13,move shelf to dock,process activity,robot,5r,shelf,11s,2330
461RP,2017-12-29 14:00:13,2017-12-29 14:10:13,move shelf from dock,process activity,robot,5r,shelf,11s,2336
101RP,2017-12-29 14:01:13,2017-12-29 14:14:13,reduce speed,process activity,robot,8r,shelf,2s,2337
101RP,2017-12-29 13:48:13,2017-12-29 14:14:13,move shelf to dock,process activity,robot,8r,shelf,2s,2327
151RP,2017-12-29 14:11:13,2017-12-29 14:16:13,putdown current shelf,process activity,robot,3r,shelf,16s,2343
151RP,2017-12-29 14:17:13,2017-12-29 14:30:13,go to approriate shelf,process activity,robot,3r,shelf,5s,2347
151RP,2017-12-29 14:31:13,2017-12-29 14:33:13,move shelf to dock,process activity,robot,3r,shelf,5s,2356
101RP,2017-12-29 14:24:13,2017-12-29 14:38:13,move shelf from dock,process activity,robot,8r,shelf,2s,2351
151RP,2017-12-29 14:41:13,2017-12-29 14:47:13,move shelf from dock,process activity,robot,3r,shelf,5s,2361
220RP,2017-12-29 14:44:13,2017-12-29 14:51:13,putdown current shelf,process activity,robot,7r,shelf,0s,2363
220RP,2017-12-29 14:52:13,2017-12-29 15:05:13,go to approriate shelf,process activity,robot,7r,shelf,24s,2368
398RP,2017-12-29 15:09:13,2017-12-29 15:10:13,putdown current shelf,process activity,robot,6r,shelf,7s,2373
398RP,2017-12-29 15:12:13,2017-12-29 15:14:13,go to approriate shelf,process activity,robot,6r,shelf,16s,2377
417RP,2017-12-29 15:13:13,2017-12-29 15:18:13,putdown current shelf,process activity,robot,4r,shelf,10s,2381
417RP,2017-12-29 15:18:13,2017-12-29 15:25:13,go to approriate shelf,process activity,robot,4r,shelf,17s,2385
220RP,2017-12-29 15:21:13,2017-12-29 15:30:13,reduce speed,process activity,robot,7r,shelf,24s,2391
220RP,2017-12-29 15:07:13,2017-12-29 15:30:13,move shelf to dock,process activity,robot,7r,shelf,24s,2371
